Метод,Образец,Условные единицы,Единицы СИ
Ацетоацетат,Плазма,<1 мг/дл,"<0,1 ммол л"
"Ацетилхолинэстераза (АХЭ), Эритроциты",Кровь,"26,7-49,2 Ед/г Hb",—
Кислая фосфатаза,Сыворотка,"0,5-5,5 Ед/л","0–0,9 мккат/л"
Активированное частичное тромбопластиновое время (АЧТВ),Плазма,25–36 секунд,—
Адренокортикотропный гормон (АКТГ),Сыворотка,9–52 пг/мл (утренний забор),2–11 пмоль/л (утренний забор)
Альбумин,Сыворотка,"3,5–5,4 г/дл",35–54 г/л
В положении стоя,Сыворотка,7-20 нг/дл,194-554 пмоль/л
В положении лежа на спине,Сыворотка,2-5 нг/дл,55-138 пмоль/л
Щелочная фосфатаза (ЩФ),Сыворотка,36–150 ед/л,"0,52,5 мккат/л"
Альфа-1-антитрипсин (ААТ),Сыворотка,83-199 мг/дл,"15,3–36,6 мкмоль/л"
Альфа-фетопротеин (АФП),Сыворотка,0-20 нг/дл,0-20 пг/л
δ-аминолевулиновая кислота (АЛА),Сыворотка,1523 мкг/л,"1,141,75 мкмоль/л"
Аланинаминотрансфераза (АЛТ),Сыворотка,0-35 Ед/л,"0-0,58 пкат л"
Аспартатаминотрансфераза (АСТ),Сыворотка,0-35 Ед/л,"0-0,58 пкат л"
Аммиак,Плазма,4080 мкг/дл,2347 мкмоль/л
Амилаза,Сыворотка,0-130 Ед/л,"0–2,17 мккат/л"
Антитела к экстрагируемому ядерному антигену (ЭНА),Сыворотка,"<20,0 единиц",—
Антитела к циклическому цитруллинированному пептиду (АЦЦП),Сыворотка,"≤ 5,0 единиц",—
Антидиуретический гормон (АДГ; аргинин вазопрессин),Плазма,"<1,7 пг/мл","<1,57 пмоль/л"
Антитела класса IgG к двуспиральной ДНК (АНТИ ДНК),Сыворотка,<25 МЕ,—
Антимитохондриальные М2 антитела,Сыворотка,"<0,1 единиц",—
Антинейтрофильные цитоплазматические антитела (АНЦА),Сыворотка,Негативный,—
"определение антинуклеарных антител (АНА),",Сыворотка,"≤ 1,0 единиц",—
Антитела к гладкой мускулатуре (АГМА),Сыворотка,≤ 1:80,—
Антистрептолизин-О,Сыворотка,<150 единиц,—
Антитиреоидные микросомальные антитела,Сыворотка,< 1:100,—
α1Антитрипсин (ААТ),Сыворотка,83-199 мг/дл,"15,3–36,6 мкмоль/л"
"A-I, женщины",Сыворотка,98-210 мг/дл,"0,98-2,1 г/л"
"A-I, мужчины",Сыворотка,88-180 мг/дл,"0,88-1,8 г/л"
"B-100, женщины",Сыворотка,44-148 мг/дл,"0,44-1,48 г/"
"B-100, мужчины",Сыворотка,55-151 мг/дл,"0,55-1,51 г/"
Бикарбонат,Сыворотка,23-28 мЭкв/л,23-28 ммоль/л
Прямой,Сыворотка,"0-0,3 мг/дл","0–5,1 мкмоль/л"
Общий,Сыворотка,"0,3-1,2 мг/дл","5,1–20,5 мкмоль/л"
"Плазма, женщины*",Кровь,28-43 мл/кг веса тела,"0,028-0,043 л/кг веса тела"
"Плазма, мужчины*",Кровь,25-44 мл/кг веса тела,"0,025-0,044 л/кг веса тела"
"Эритроциты, женщины*",Кровь,20-30 мл/кг веса тела,"0,02-0,03 л кг веса тел"
"Эритроциты, мужчины*",Кровь,25-35 мл/кг веса тела,"0,025-0,035 л/кг веса тела"
Натрийуретический пептид мозга (В-тип) (МНП),Плазма,<100 пг/мл,—
Женщины,Сыворотка,<8 мкг/мл,—
Мужчины,Сыворотка,<16 пг/мл,—
Кальций,Сыворотка,"9-10,5 мг/дл","2,2-2,6 ммоль/л"
CA 125,Сыворотка,<35 Ед/мл,—
CA 15-3,Сыворотка,<30 Ед/мл,—
Содержание углекислого газа (CO2),Сыворотка,23-28 мЭкв/л,23-28 ммоль/л
Парциальное давление углекислого газа (РСО2),Кровь,35-45 мм рт. ст.,—
Карбоксигемоглобин,Плазма,"0,5–5%",—
Раково-эмбриональный антиген (СЕА),Сыворотка,<2 нг/мл,< 2 мкг/л
Каротин,Сыворотка,75–300 мкг/л,"1,4– 5,6мкмоль л"
соотношение CD4/CD8,Кровь,1–4,—
Показатель числа CD4+ Т- лимфоцитов,Кровь,640–1175/мкл,"0,64-1,18 х 109/л"
Показатель числа CD8+ Т- лимфоцитов,Кровь,335–875/мкл,"0,34-0,88 х 109/л"
Церулоплазмин,Сыворотка,25-43 мг/дл,250-430 мг л
Хлор,Сыворотка,98-106 мЭкв/л,98-106 ммоль/л
Женщины,Кровь,0-20 мм/ч,0-20 мм/ч
Мужчины,Кровь,0-15 мм/ч,0-20 мм/ч
Эритропоэтин,Сыворотка,"4,0–18,5 м единиц/мл","4,0–18,5 Ед л"
1-10 дни менструального цикла,Сыворотка,14-27 пг/мл,50-100 пмоль/л
11-20 дни менструального цикла,Сыворотка,14-54 пг/мл,50-200 пмоль/л
21-30 дни менструального цикла,Сыворотка,19-40 пг/мл,70-150 пмоль/л
"Эстрадиол, мужчины",Сыворотка,10-30 пг/мл,37-110 пмоль/л
Женщины,Сыворотка,30–200 нг/мл,30–200 мкг л
Мужчины,Сыворотка,30–300 нг/мл,30–300 мг/
α-фетопротеин (АФП),Сыворотка,0-20 нг/дл,0-20 пг/л
Фибриноген,Плазма,150-350 мг/дл,"1,5-3,5 г/л"
Количество эритроцитов,Кровь,160-855 нг/мл,362-1937 нмоль/л
Сыворотка,Сыворотка,"2,5-20 нг/мл","5,7-45,3 нмоль/л"
Фолликулярная или лютеиновая фаза,Сыворотка,5-20 мЕд/мл,5-20 Ед/л
Пик середины цикла,Сыворотка,30-50 мЕд/мл,30-50 Ед/л
Постменопауза,Сыворотка,> 35 мЕд/мл,> 35 Ед/л
"фолликулостимулирующий гормон (ФСГ), взрослые мужчины",Сыворотка,5-15 мЕд/мл,5-15 Ед/л
Уровней фруктозамина,Плазма,200-285 мкмоль/л,—
гамма- глютамилтранспептидаза (ГГТП),Сыворотка,8-78 Ед/л,—
Гастрин,Сыворотка,0-180 пг/мл,0-180 нг/л
Глобулины:,Сыворотка,"2,5-3,5 г/дл",25-35 г/л
Альфа-1-глобулины,Сыворотка,"0,2-0,4 г/дл",2-4 г/л
Альфа-2-глобулины,Сыворотка,"0,5-0,9 г/дл",5-9 г/л
Женщины,Плазма,"0,40-1,89 мг/л",3–14 мкмоль/л
Мужчины,Плазма,"0,54-2,16 мг/л",4–16 мкмоль/л
"Хорионический гонадотропин человека (ХГЧ), количественный",Сыворотка,< 5 м единиц/мл,—
IgA,Сыворотка,70-300 мг/дл,"0,7-3,0 г/л"
IgD,Сыворотка,<8 мг/дл,<80 мг/л
IgE,Сыворотка,"0,01-0,04 мг/дл","0,1-0,4 мг/"
IgG,Сыворотка,640-1430 мг/дл,"6,4-14,3 г/л"
IgG1,Сыворотка,280-1020 мг/дл,"2,8-10,2 г/л"
IgG2,Сыворотка,60-790 мг/дл,"0,6-7,9 г/л"
IgG3,Сыворотка,14-240 мг/дл,"0,14-2,4 г/л"
IgG4,Сыворотка,11-330 мг/дл,"0,11-3,3 г/л"
IgM,Сыворотка,20-140 мг/дл,"0,2-1,4 г/л"
Тест на переносимость лактозы,Плазма,> 15 мг/дл увеличение в плазме уровня глюкозы,"> 0,83 ммоль/л увеличени в плазме уровня глюкозы"
Свинец,Кровь,< 40 мкг/дл,"< 1,9 мкмоль/л"
