Метод,Образец,Условныеединицы,ЕдиницыСИ,min Условныеединицы,max Условныеединицы,min ЕдиницыСИ,max ЕдиницыСИ
Ацетоацетат,Плазма,<1 мг/дл,"<0,1 ммол л",1,1,"0,1","0,1"
"Ацетилхолинэстераза (АХЭ), Эритроциты",Кровь,"26,7-49,2 Ед/г Hb",—,"26,7","49,2",0.0,0.0
Кислая фосфатаза,Сыворотка,"0,5-5,5 Ед/л","0–0,9 мккат/л","0,5","5,5",0,0
Активированное частичное тромбопластиновое время (АЧТВ),Плазма,25–36 секунд,—,25,25,0.0,0.0
Адренокортикотропный гормон (АКТГ),Сыворотка,9–52 пг/мл (утренний забор),2–11 пмоль/л (утренний забор),9,9,2,2
Альбумин,Сыворотка,"3,5–5,4 г/дл",35–54 г/л,"3,5","3,5",35,35
В положении стоя,Сыворотка,7-20 нг/дл,194-554 пмоль/л,7,20,194,554
В положении лежа на спине,Сыворотка,2-5 нг/дл,55-138 пмоль/л,2,5,55,138
Щелочная фосфатаза (ЩФ),Сыворотка,36–150 ед/л,"0,52,5 мккат/л",36,36,"0,52","0,52"
Альфа-1-антитрипсин (ААТ),Сыворотка,83-199 мг/дл,"15,3–36,6 мкмоль/л",83,199,"15,3","15,3"
Альфа-фетопротеин (АФП),Сыворотка,0-20 нг/дл,0-20 пг/л,0,20,0,20
δ-аминолевулиновая кислота (АЛА),Сыворотка,1523 мкг/л,"1,141,75 мкмоль/л",1523,1523,"1,141","1,141"
Аланинаминотрансфераза (АЛТ),Сыворотка,0-35 Ед/л,"0-0,58 пкат л",0,35,0,"0,58"
Аспартатаминотрансфераза (АСТ),Сыворотка,0-35 Ед/л,"0-0,58 пкат л",0,35,0,"0,58"
Аммиак,Плазма,4080 мкг/дл,2347 мкмоль/л,4080,4080,2347,2347
Амилаза,Сыворотка,0-130 Ед/л,"0–2,17 мккат/л",0,130,0,0
Антитела к экстрагируемому ядерному антигену (ЭНА),Сыворотка,"<20,0 единиц",—,"20,0","20,0",0.0,0.0
Антитела к циклическому цитруллинированному пептиду (АЦЦП),Сыворотка,"≤ 5,0 единиц",—,"5,0","5,0",0.0,0.0
Антидиуретический гормон (АДГ; аргинин вазопрессин),Плазма,"<1,7 пг/мл","<1,57 пмоль/л","1,7","1,7","1,57","1,57"
Антитела класса IgG к двуспиральной ДНК (АНТИ ДНК),Сыворотка,<25 МЕ,—,25,25,0.0,0.0
