Метод,Образец,Условные единицы,Единицы СИ
Альдостерон,Суточная моча,5–19 мкг/24 ч,"13,9–52,6 нмоль/24 ч."
"Аминокислоты, всего",Суточная моча,200–400 мг/24 ч,14–29 нмоль/24 ч
Амилаза,Порционная моча,"6,5-48,1 ед./ч",—
Кальций (неограниченный прием),Порционная моча,100-300 мг/день,"2,5-7,5 ммоль/ день"
Катехоламины,Суточная моча,< 100 мкг/м2/24 ч,< 591 нмоль/ м2/24 ч.
Хлор,Порционная моча,80-250 мЭкв/день,80-250 ммоль/ день
Медь,Суточная моча,0–100 мкг/24 ч,"0–1,6 мкмоль/24 ч"
Копропорфирин,Суточная моча,50–250 мкг/24 ч,76–382 нмоль/24 ч.
Свободный кортизол,Суточная моча,< 90 мкг/24 ч,< 248 нмоль/24 ч.
Женщины,Суточная моча,0–100 мг/24 ч.,0–763 ммоль/24 ч.
Мужчины,Суточная моча,4–40 мг/24 ч.,30–305 ммоль/24 ч.
"Креатинин, относительно веса",Суточная моча,15–25 мг/кг/24 ч.,133–221 ммоль/ кг/24 ч.
Экскреция D-ксилозы через 5 часов после приема 25 г D-ксилозы,"Моча, собранная за 5 часов",5-8 г,33-53 ммоль
"Эстриол, женщины",Суточная моча,> 12 мг/24 ч.,> 42 мкмоль/24 ч
Кортизол,Суточная моча,"3,5–4,5 мкг/24 ч","9,7–12,4 нмоль/24 ч"
Кортизон,Суточная моча,17–129 мкг/24 ч,47–359 нмоль/24 ч
5-гидроксииндолуксусная кислота (5-ГИУКА),Суточная моча,2–9 мг/24 ч,"10,4–46,8 мкмоль/24 ч"
Андростерон,Суточная моча,55–1589 мкг/24 ч,—
Прегнантриол,Суточная моча,59–1391 мкг/24 ч,—
Андростерон,Суточная моча,234–2703 мкг/24 ч,—
Этиохоланолон,Суточная моча,151–3198 мкг/24 ч,—
11-гидрокси андростерон,Суточная моча,66–1032 мкг/24 ч,—
11-гидрокси этиохоланолон,Суточная моча,17–1006 мкг/24 ч,—
11-Кетоандростерон,Суточная моча,4–55 мкг/24 ч,—
11-Кетоэтиохоланолон,Суточная моча,51–1016 мкг/24 ч,—
Прегнантриол,Суточная моча,245–1701 мкг/24 ч,—
"метанефрин, у женщин",Суточная моча,30–180 мкг/24 ч,—
"Общий уровень метанефрина, женщины",Суточная моча,142–510 мкг/24 ч,—
"Метанефрин, мужчины",Суточная моча,44–261 мкг/24 ч,—
"Общий уровень метанефрина, мужчины",Суточная моча,190–583 мкг/24 ч,—
Норметанефрин,Суточная моча,103–390 мкг/24 ч,—
Метанефрин,Суточная моча,< 400 мкг/24 ч,—
Норметанефрин,Суточная моча,< 900 мкг/24 ч,—
Все метанефрины,Суточная моча,< 1300 мкг/24 ч,—
Микроальбумин,Суточная моча,< 30 мг/24 ч,—
"Микроальбумин, соотношение альбумин/ креатинин",Случайный образец мочи,< 20 мкг/мг,—
Осмоляльность,Случайный образец мочи,38-1400 мосмоль/ кг H2О,—
